phase,step,loss,accuracy,margin
train,1,3.125699281692505,1,0.8669050931930542
train,2,2.0785789489746094,1,0.8944240808486938
train,3,2.0174787044525146,1,2.3862600326538086
train,4,1.4198440313339233,1,22.397472381591797
train,5,1.4274475574493408,1,8.02097225189209
train,6,0.7625419497489929,1,9.199151992797852
train,7,2.400989532470703,1,5.224476337432861
train,8,5.581727504730225,1,6.221587657928467
train,9,1.0947288274765015,1,9.056192398071289
train,10,2.720458984375,1,7.679815769195557
train,11,2.3315813541412354,1,6.095651626586914
train,12,3.92411732673645,1,5.811569690704346
train,13,0.5558716058731079,1,3.7408180236816406
train,14,0.3750533163547516,1,6.938655376434326
train,15,2.639876127243042,1,6.397125244140625
train,16,1.550999641418457,1,3.457275152206421
train,17,2.582364559173584,1,2.9604456424713135
train,18,0.9657691717147827,1,8.297996520996094
train,19,0.7631711363792419,1,8.202692031860352
train,20,1.0385398864746094,1,4.536593914031982
train,21,1.007015585899353,1,6.469265937805176
train,22,1.5701031684875488,1,5.015523433685303
train,23,0.7768763899803162,1,9.773672103881836
train,24,0.8013074398040771,1,4.333771705627441
train,25,0.017860591411590576,1,9.217818260192871
train,26,0.10000254213809967,1,24.742916107177734
train,27,0.47740089893341064,1,5.285494327545166
train,28,0.6683726906776428,1,2.639627695083618
train,29,1.5190635919570923,1,8.667097091674805
train,30,3.9627256393432617,1,0.08993717283010483
train,31,3.8343496322631836,1,4.229436874389648
train,32,5.099678039550781,1,1.6693987846374512
train,33,10.449592590332031,1,2.038663148880005
train,34,8.807647705078125,1,2.6442971229553223
train,35,10.330780982971191,0,-0.4674183130264282
train,36,12.580175399780273,0,-1.3270983695983887
train,37,10.858917236328125,1,0.6946576237678528
train,38,11.629793167114258,0,-1.530310869216919
train,39,9.453641891479492,1,0.4624160826206207
train,40,11.431029319763184,0,-1.2321981191635132
train,41,7.2263264656066895,1,3.18068265914917
train,42,7.598956108093262,1,0.07988179475069046
train,43,8.288552284240723,1,0.7627253532409668
train,44,6.243680477142334,1,2.0289578437805176
train,45,7.651454925537109,1,1.8421449661254883
train,46,5.892219066619873,1,3.2900850772857666
train,47,8.516883850097656,1,1.5877127647399902
train,48,8.131548881530762,1,3.0253653526306152
train,49,8.137307167053223,1,2.0235543251037598
train,50,6.890219688415527,1,3.889540910720825
train,51,7.224234580993652,1,3.0665481090545654
train,52,5.625765800476074,1,5.059542655944824
train,53,4.76646614074707,1,4.925947189331055
train,54,7.055417537689209,1,2.911358594894409
train,55,6.676827907562256,1,4.107572078704834
train,56,6.303576469421387,1,2.8758671283721924
train,57,7.256468296051025,1,3.733152389526367
train,58,6.1926069259643555,1,4.353085041046143
train,59,5.021916389465332,1,3.0325262546539307
train,60,6.0708441734313965,1,4.081068992614746
train,61,5.722555637359619,1,5.058359146118164
train,62,4.507124900817871,1,6.511593818664551
train,63,5.206976890563965,1,3.8798952102661133
train,64,3.448221206665039,1,5.903602123260498
train,65,5.697745323181152,1,2.9656333923339844
train,66,4.538549900054932,1,4.999265193939209
train,67,5.896055698394775,1,4.1242995262146
train,68,5.3612260818481445,1,4.099294185638428
train,69,5.869630813598633,1,4.907493591308594
train,70,5.781769275665283,1,5.373634338378906
train,71,4.564584255218506,1,3.840144634246826
train,72,6.285126686096191,1,4.8881707191467285
train,73,4.710711479187012,1,4.373727798461914
train,74,4.622889041900635,1,4.289407253265381
train,75,5.4259796142578125,1,4.853615760803223
train,76,3.9116923809051514,1,6.262597560882568
train,77,5.3660454750061035,1,5.714239120483398
train,78,5.916131496429443,1,5.60399055480957
train,79,4.661985397338867,1,4.660563945770264
train,80,4.9132914543151855,1,7.126410961151123
train,81,5.422872066497803,1,4.78084659576416
train,82,4.708533763885498,1,6.222935676574707
train,83,4.4380950927734375,1,5.089458465576172
train,84,4.402279376983643,1,4.364182949066162
train,85,4.2617106437683105,1,4.577671527862549
train,86,4.859807968139648,1,5.615584850311279
train,87,4.963282585144043,1,5.1181488037109375
train,88,3.839881658554077,1,5.515791416168213
train,89,5.013956069946289,1,7.433770179748535
train,90,5.382068157196045,1,4.773910999298096
train,91,4.736303329467773,1,6.255336761474609
train,92,4.075467586517334,1,5.367486953735352
train,93,5.531559467315674,1,5.753372669219971
train,94,4.067861557006836,1,6.6371307373046875
train,95,5.1471052169799805,1,6.2745280265808105
train,96,5.511528491973877,1,4.585941791534424
train,97,3.3877744674682617,1,6.242878437042236
train,98,4.800146102905273,1,6.664781093597412
train,99,3.718867778778076,1,6.8002610206604
train,100,3.861145257949829,1,8.02709674835205
train,101,4.964696407318115,1,4.439065456390381
train,102,5.031464099884033,1,6.2240142822265625
train,103,5.295937538146973,1,4.887906074523926
train,104,4.8664069175720215,1,4.789114475250244
train,105,5.525745391845703,1,4.956664085388184
train,106,5.538610935211182,1,4.527713775634766
train,107,3.6251492500305176,1,6.507901191711426
train,108,5.278050899505615,1,4.700552940368652
train,109,3.775434970855713,1,5.594701290130615
train,110,4.315772533416748,1,6.689502716064453
train,111,4.46896505355835,1,6.226386547088623
train,112,4.597285747528076,1,7.391311168670654
train,113,4.274740695953369,1,5.410950183868408
train,114,3.13551664352417,1,7.063670635223389
train,115,5.1132731437683105,1,4.994016170501709
train,116,4.576803207397461,1,4.988966464996338
train,117,4.667423725128174,1,5.255218029022217
train,118,4.793869495391846,1,6.9236016273498535
train,119,5.072395324707031,1,5.275533199310303
train,120,5.056497097015381,1,5.95727014541626
val,10,1.6332151284972496,1,5.537849307060242
val,20,2.2952282996426216,1,4.832427531480789
val,30,6.611771976388991,0.75,1.4574196189641953
val,40,8.395500856637955,0.75,0.17745260894298553
val,50,7.4551310943672435,1,2.786142721772194
val,60,6.832747673615813,1,3.2172487378120422
val,70,6.61170786729781,1,3.4657604098320007
val,80,6.6172126977122385,1,3.7779292464256287
val,90,6.7755303246551195,1,3.832994520664215
val,100,6.512402779201511,1,3.9105610251426697
val,110,6.571337993792258,1,3.738161265850067
val,120,6.573189145035576,1,4.0833099484443665
