phase,step,loss,accuracy,margin
train,1,1.7492648363113403,1,0.04462018609046936
train,10,0.7535362839698792,1,0.7131484150886536
train,20,3.2632651329040527,0,-0.3058246970176697
train,30,1.0294947624206543,1,2.1107711791992188
train,40,1.6397815942764282,1,0.2992008328437805
train,50,5.66591739654541,0,-3.2167210578918457
train,60,3.5138254165649414,0,-2.298621416091919
train,70,1.6522921323776245,1,1.8665704727172852
train,80,1.9300636053085327,0,-0.8892152309417725
train,90,1.4853683710098267,1,0.2204035520553589
train,100,1.7301316261291504,1,0.38069039583206177
train,110,0.7821380496025085,1,1.050511360168457
train,120,0.15221397578716278,1,2.7020375728607178
train,130,1.0354653596878052,1,1.0235207080841064
train,140,1.2748169898986816,1,1.0542852878570557
train,150,2.5381739139556885,1,0.1959836632013321
train,160,3.296607255935669,0,-2.441601037979126
train,170,1.7849514484405518,1,1.6687628030776978
train,180,1.0724124908447266,1,0.9312805533409119
train,190,1.3767709732055664,0,-0.1387605369091034
train,200,1.5835756063461304,0,-0.2996404767036438
train,210,1.5422782897949219,1,0.6279245018959045
train,220,1.7368637323379517,0,-0.5408192873001099
train,230,0.9670606255531311,0,-0.29388540983200073
train,240,3.553980827331543,0,-1.7133671045303345
train,250,2.677530527114868,0,-0.8625538349151611
train,260,3.7052881717681885,0,-1.724003553390503
train,270,1.3268626928329468,1,1.0524396896362305
train,280,2.506502389907837,1,1.6010335683822632
train,290,1.250927448272705,1,0.7471896409988403
train,300,1.3358606100082397,0,-0.2644309401512146
train,310,1.9026710987091064,0,-0.1949070692062378
train,320,0.9832995533943176,1,1.8557034730911255
train,330,1.389020562171936,0,-0.06607118248939514
train,340,1.124423623085022,1,0.5376441478729248
train,350,1.8712012767791748,1,0.46466848254203796
train,360,2.2282040119171143,0,-0.7544975876808167
train,370,0.5984451174736023,0,-0.07990127801895142
train,380,1.1119087934494019,1,0.2109420895576477
train,390,2.262479782104492,0,-2.5704636573791504
train,400,3.1278862953186035,0,-1.0982617139816284
train,410,0.7633097171783447,1,1.9126722812652588
train,420,1.8910504579544067,1,0.3738551735877991
train,430,2.638950824737549,1,0.4443361759185791
train,440,1.8592100143432617,1,0.08569526672363281
train,450,2.3717782497406006,1,0.5120785236358643
train,460,1.5879480838775635,1,4.240194320678711
train,470,2.446928024291992,0,-0.9335647225379944
train,480,0.9227516651153564,1,1.5273913145065308
train,490,1.6965774297714233,0,-0.12198096513748169
train,500,1.2437338829040527,0,-0.6108011603355408
train,510,1.6402935981750488,1,0.01592746376991272
train,520,1.5215121507644653,1,0.21493466198444366
train,530,0.8861857652664185,1,0.5048994421958923
train,540,4.8986616134643555,0,-2.211869955062866
train,550,1.5864920616149902,0,-0.5397112369537354
train,560,4.118142127990723,0,-1.2813323736190796
train,570,2.8210151195526123,1,0.1187678724527359
train,580,2.016892194747925,0,-0.6802366971969604
train,590,1.4600905179977417,1,1.4330165386199951
train,600,3.1318347454071045,0,-1.347551941871643
train,610,1.631263017654419,1,0.77317875623703
train,620,1.243482232093811,1,0.13797205686569214
train,630,0.6224093437194824,1,0.38743293285369873
train,640,1.7975174188613892,0,-0.4340280294418335
train,650,0.9715527892112732,1,2.6213033199310303
train,660,0.9252637624740601,1,1.1315001249313354
train,670,1.5732016563415527,1,0.6264346837997437
train,680,2.929471492767334,0,-0.6215013265609741
train,690,1.9975188970565796,0,-0.5321962833404541
train,700,0.6615747213363647,1,1.3997790813446045
train,710,1.5645897388458252,0,-0.5159494876861572
train,720,2.266904830932617,0,-0.4986579418182373
train,730,2.853914499282837,0,-1.1157894134521484
train,740,0.3595929443836212,1,0.5555050373077393
train,750,2.0202603340148926,0,-0.6833261847496033
train,760,1.2536156177520752,1,1.2109371423721313
train,770,1.7553224563598633,0,-1.4544298648834229
train,780,2.00803542137146,1,0.18470099568367004
train,790,1.3512221574783325,0,-0.1735447645187378
train,800,1.1127468347549438,1,0.9085530638694763
train,810,1.2770227193832397,0,-0.14811468124389648
train,820,0.7583726048469543,1,0.3006478548049927
train,830,1.1518397331237793,1,2.577440023422241
train,840,0.2681756615638733,1,1.6184132099151611
train,850,2.261554479598999,0,-0.6571687459945679
train,860,1.4820301532745361,0,-0.28963974118232727
train,870,1.6602829694747925,0,-0.1073315441608429
train,880,1.8860715627670288,0,-0.7561827898025513
train,890,1.411849021911621,0,-0.586353063583374
train,900,1.3687783479690552,1,1.3632279634475708
train,910,0.8532864451408386,1,2.561128854751587
train,920,1.4059585332870483,1,0.20399576425552368
train,930,1.1349256038665771,1,1.5796253681182861
train,940,1.0376490354537964,1,0.12195631861686707
train,950,1.2634700536727905,1,3.5428411960601807
train,960,2.252988338470459,0,-0.5536986589431763
train,970,2.4376978874206543,0,-1.0256564617156982
train,980,1.8791333436965942,0,-0.6275414824485779
train,990,1.18682062625885,1,0.8907147645950317
train,1000,1.079397439956665,1,0.6665906310081482
train,1010,1.4231035709381104,1,0.2848206162452698
train,1020,0.8772825002670288,1,0.8746994733810425
train,1030,3.0170178413391113,0,-0.955950140953064
train,1040,1.9046809673309326,0,-1.1830530166625977
train,1050,1.3434300422668457,0,-0.43609538674354553
train,1060,2.633620262145996,0,-1.4308332204818726
train,1070,1.4029165506362915,0,-0.7524236440658569
train,1080,2.0546252727508545,0,-0.262133926153183
train,1090,0.7033663392066956,0,-0.13958901166915894
train,1100,1.2775689363479614,1,1.2188715934753418
train,1110,1.5409150123596191,0,-0.1526254415512085
train,1120,1.259676456451416,1,0.47972872853279114
train,1130,3.0074310302734375,0,-0.9755662679672241
train,1140,0.8292109966278076,1,1.0519468784332275
train,1150,1.9718310832977295,1,0.12304982542991638
train,1160,0.9485982060432434,1,1.1189110279083252
train,1170,1.615307092666626,0,-0.4708172678947449
train,1180,2.1199951171875,0,-0.069016233086586
train,1190,1.677100658416748,1,0.4275606870651245
train,1200,1.9680871963500977,0,-0.6408474445343018
train,1210,1.9796313047409058,0,-0.20711317658424377
train,1220,0.872214138507843,0,-0.32359856367111206
train,1230,1.40020751953125,1,1.2667884826660156
train,1240,1.2762515544891357,1,0.29521051049232483
train,1250,1.1357827186584473,1,0.22914284467697144
train,1260,0.9712658524513245,0,-0.1563624143600464
train,1270,2.0543386936187744,0,-0.43974995613098145
train,1280,1.3336448669433594,0,-0.9301707744598389
train,1290,1.9929637908935547,0,-0.7663406133651733
train,1300,2.021071672439575,0,-0.9336533546447754
train,1310,3.0939781665802,1,0.35041821002960205
train,1320,1.0993224382400513,0,-0.22298777103424072
train,1330,0.8447996377944946,1,0.9034038782119751
train,1340,1.8361148834228516,0,-0.8916540145874023
train,1350,6.378289699554443,0,-3.246077060699463
train,1360,4.968345642089844,0,-2.254664182662964
train,1370,1.8733092546463013,1,0.21442395448684692
train,1380,1.7073891162872314,1,0.4449455738067627
train,1390,0.9427049160003662,1,0.8621729612350464
train,1400,1.1124980449676514,0,-0.5975080132484436
train,1410,0.6886686086654663,1,0.8273111581802368
train,1420,0.9410378932952881,0,-0.15121829509735107
train,1430,1.1155885457992554,0,-0.39030930399894714
train,1440,0.5571514368057251,1,10.10405445098877
train,1450,1.2041287422180176,1,1.2868969440460205
train,1460,0.7142558693885803,1,0.5715351700782776
train,1470,1.093721866607666,1,0.8042888641357422
train,1480,1.6646729707717896,1,1.5989840030670166
train,1490,1.6477164030075073,1,1.1943765878677368
train,1500,3.614788770675659,0,-1.7217113971710205
train,1510,1.4218376874923706,1,0.03325420618057251
train,1520,0.5645130276679993,1,0.04945918917655945
train,1530,1.800620436668396,1,0.3079598546028137
train,1540,1.77362060546875,1,0.06377765536308289
train,1550,1.6940137147903442,1,0.5068085193634033
train,1560,1.8947460651397705,1,0.06744623184204102
train,1570,3.455211639404297,0,-2.602593183517456
train,1580,1.4334332942962646,1,0.5759518146514893
train,1590,1.9862271547317505,1,0.5869675874710083
train,1600,1.2066925764083862,0,-0.32522425055503845
train,1610,1.6500669717788696,0,-0.37005919218063354
train,1620,0.9774193167686462,1,1.184950351715088
train,1630,1.817559003829956,1,2.204942226409912
train,1640,1.2715091705322266,1,0.04740333557128906
train,1650,1.4876600503921509,0,-0.6905848979949951
train,1660,1.2905657291412354,1,1.6783523559570312
train,1670,2.067077875137329,0,-0.57624351978302
train,1680,0.5162148475646973,1,1.175628423690796
train,1690,0.9227874279022217,0,-0.5935696959495544
train,1700,1.904296875,0,-0.06012381613254547
train,1710,2.5285849571228027,0,-0.876596212387085
train,1720,1.5707637071609497,0,-0.39033469557762146
train,1730,0.7560603618621826,1,0.06632637977600098
train,1740,1.262390375137329,0,-0.39864295721054077
train,1750,1.455122709274292,1,0.8879202604293823
train,1760,1.519934892654419,1,3.0489602088928223
train,1770,1.58710515499115,1,0.44637131690979004
train,1780,1.7250850200653076,1,1.158768653869629
train,1790,1.441714882850647,1,1.188586711883545
train,1800,2.135606288909912,0,-0.9326348900794983
train,1810,1.8944995403289795,0,-0.5627171993255615
train,1820,0.739602267742157,1,0.40723538398742676
train,1830,2.670448064804077,0,-0.47832050919532776
train,1840,1.3023643493652344,0,-0.5478106737136841
train,1850,1.5115834474563599,1,0.02468976378440857
train,1860,1.4933711290359497,0,-2.852621555328369
train,1870,1.0397800207138062,1,0.8335223197937012
train,1880,1.3091217279434204,1,13.384139060974121
train,1890,2.191689968109131,0,-0.9362906813621521
train,1900,1.6466230154037476,1,1.5729186534881592
train,1910,1.1032061576843262,1,0.236130952835083
train,1920,0.8889115452766418,1,5.454653739929199
train,1930,2.597468614578247,0,-0.5457363128662109
train,1940,1.2727874517440796,1,1.1089719533920288
train,1950,1.3660765886306763,1,0.43064162135124207
train,1960,1.00872802734375,1,1.9343258142471313
train,1970,2.0639450550079346,1,0.9991447925567627
train,1980,1.1510485410690308,0,-0.013979345560073853
train,1990,1.1598129272460938,1,0.2799634039402008
train,2000,1.7028849124908447,0,-0.1320306360721588
train,2010,0.8756185173988342,1,1.0419541597366333
train,2020,1.7623119354248047,0,-1.0240135192871094
train,2030,1.8335942029953003,0,-0.21045354008674622
train,2040,1.1941163539886475,0,-0.5870180726051331
train,2050,1.7845547199249268,1,1.8954358100891113
train,2060,4.326870441436768,0,-1.0484189987182617
train,2070,1.0193307399749756,1,0.307470440864563
train,2080,0.5673499703407288,1,3.0075526237487793
train,2090,1.6425732374191284,0,-0.3769669532775879
train,2100,1.4613416194915771,0,-0.30195239186286926
train,2110,1.5256704092025757,1,0.3211216926574707
train,2120,1.6961935758590698,1,0.8107881546020508
train,2130,1.3522627353668213,1,0.5833593606948853
train,2140,1.2863154411315918,1,0.1769755482673645
train,2150,0.594988226890564,1,0.7144973874092102
train,2160,0.6734231114387512,1,1.0451245307922363
train,2170,1.432066798210144,1,2.318976879119873
train,2180,1.8178778886795044,0,-0.33511805534362793
train,2190,0.29517289996147156,1,2.3754518032073975
train,2200,0.21351897716522217,1,1.5644004344940186
train,2210,1.3967866897583008,0,-0.5074812173843384
train,2220,1.338355302810669,1,0.9632903337478638
train,2230,1.8794325590133667,0,-0.07229611277580261
train,2240,1.1468561887741089,1,1.3067179918289185
train,2250,1.4737461805343628,0,-0.09254512190818787
train,2260,0.7500011324882507,1,11.76131820678711
train,2270,0.8767079710960388,0,-0.9680815935134888
train,2280,1.0698267221450806,1,0.2413756549358368
train,2290,1.0928360223770142,0,-0.014440685510635376
train,2300,1.2266249656677246,0,-0.6354011297225952
train,2310,1.8746358156204224,0,-0.5664118528366089
train,2320,1.3154661655426025,1,0.2738015949726105
train,2330,1.4579029083251953,1,1.2708430290222168
train,2340,1.12157142162323,1,0.6235852241516113
train,2350,0.7274813055992126,0,-0.03519719839096069
train,2360,9.601834297180176,0,-6.962305545806885
train,2370,0.5665741562843323,1,2.3136632442474365
train,2380,2.1711275577545166,0,-1.1907548904418945
train,2390,1.1677578687667847,1,0.9686806201934814
train,2400,0.1286606341600418,1,4.040454864501953
train,2410,0.7491946816444397,1,0.5916928052902222
train,2420,1.2638072967529297,0,-0.22683346271514893
train,2430,1.191093921661377,1,0.46616724133491516
train,2440,0.9478966593742371,1,2.2837936878204346
train,2450,1.0830161571502686,0,-0.07340377569198608
train,2460,1.6045786142349243,0,-0.1144736111164093
train,2470,0.9019173383712769,1,0.11352628469467163
train,2480,1.7522468566894531,0,-0.01629410684108734
train,2490,1.6135461330413818,0,-1.1214910745620728
train,2500,1.5271053314208984,0,-0.4520556926727295
train,2510,1.398100733757019,0,-0.5122563242912292
train,2520,0.49188724160194397,1,3.0046567916870117
train,2530,0.6977164149284363,1,1.002295970916748
train,2540,1.8552552461624146,1,0.9471452832221985
train,2550,1.421321988105774,0,-0.23459893465042114
train,2560,1.6342533826828003,0,-0.28958356380462646
train,2570,2.3091700077056885,0,-0.12053952366113663
train,2580,1.4015427827835083,1,1.9391416311264038
train,2590,1.2381352186203003,1,0.7646687030792236
train,2600,0.825438916683197,1,1.3119651079177856
train,2610,2.4166266918182373,1,0.867569625377655
train,2620,1.2929809093475342,1,1.001911997795105
train,2630,1.114666223526001,0,-0.1467493176460266
train,2640,1.3552347421646118,0,-0.5501423478126526
train,2650,1.3358235359191895,0,-0.2985559403896332
train,2660,2.2553908824920654,0,-0.2516462206840515
train,2670,1.2773520946502686,0,-0.7356491088867188
train,2680,0.6264525651931763,1,4.566862106323242
train,2690,1.1287660598754883,1,1.1793708801269531
train,2700,0.4345000088214874,1,0.17439019680023193
train,2710,0.12032998353242874,1,3.517317771911621
train,2720,0.7863318920135498,1,0.8977662324905396
train,2730,0.26266053318977356,1,2.0027101039886475
train,2740,1.2225292921066284,1,1.4859024286270142
train,2750,0.4848015606403351,1,1.4689048528671265
train,2760,0.3268350064754486,1,0.9810799360275269
train,2770,1.7560415267944336,0,-0.08096837997436523
train,2780,0.9388044476509094,0,-0.19246941804885864
train,2790,0.8476536870002747,1,0.65903639793396
train,2800,1.1376090049743652,0,-0.5179591178894043
train,2810,4.664337635040283,0,-1.6264978647232056
train,2820,1.3586478233337402,1,0.2505496144294739
train,2830,1.0674540996551514,0,-0.2710169553756714
train,2840,2.022047519683838,0,-0.3673752248287201
train,2850,1.668590784072876,0,-0.1648111492395401
train,2860,1.4881025552749634,1,0.10360375046730042
train,2870,2.2724194526672363,0,-0.2629145085811615
